Company Name,Industry,Stage,Amount($),HeadQuarter,Funding Year,category
TheCollegeFever,Brand Marketing,Early Stage,250000.0,Bangalore,2018,E-Commerce & Marketplace
Happy Cow Dairy,Agriculture,Early Stage,584000.0,Mumbai,2018,Food & Agriculture
MyLoanCare,Credit,Series A to Series H,949000.0,Gurgaon,2018,Finance $ Banking
PayMe India,Financial Services,Angel and Grants,2000000.0,Noida,2018,Consulting & Services
Eunimart,E-Commerce Platforms,Early Stage,0.0,Hyderabad,2018,E-Commerce & Marketplace
Hasura,Cloud Infrastructure,Early Stage,1600000.0,Bengaluru,2018,Other
Tripshelf,Internet,Early Stage,233600.0,Kalkaji,2018,Technology
Hyperdata.IO,Market Research,Angel and Grants,730000.0,Hyderabad,2018,E-Commerce & Marketplace
Freightwalla,Information Services,Early Stage,0.0,Mumbai,2018,Consulting & Services
Microchip Payments,Mobile Payments,Early Stage,0.0,Bangalore,2018,Other
BizCrum Infotech Pvt. Ltd.,B2B,Early Stage,0.0,Delhi,2018,Other
Emojifi,Internet,Early Stage,0.0,Bengaluru,2018,Technology
Flock,Apps,Early Stage,0.0,India,2018,Other
Freshboxx,Food Delivery,Early Stage,0.0,Hubli,2018,Food & Agriculture
Wide Mobility Mechatronics,Industrial Automation,Early Stage,0.0,Bangalore,2018,Autommotive $ Transportation
Pitstop,Automotive,Early Stage,1460000.0,Bengaluru,2018,Autommotive $ Transportation
Mihuru,Finance,Early Stage,150000.0,Mumbai,2018,Finance $ Banking
Fyle,Accounting,Early Stage,1100000.0,Bengaluru,2018,Finance $ Banking
AppWharf,Artificial Intelligence,Early Stage,0.0,New Delhi,2018,Other
Antariksh Waste Ventures Pvt ltd,Internet of Things,Early Stage,7300.0,Chennai,2018,Technology
Cogoport,Air Transportation,Series A to Series H,6000000.0,Mumbai,2018,Autommotive $ Transportation
PaisaDukan,Financial Services,Early Stage,650000.0,Mumbai,2018,Consulting & Services
Sleepy Owl Coffee,Food and Beverage,Early Stage,511000.0,New Delhi,2018,Food & Agriculture
BlueJack,Autonomous Vehicles,Early Stage,934400.0,Delhi,2018,Autommotive $ Transportation
PregBuddy,Enterprise Software,Early Stage,0.0,Bengaluru,2018,Technology
AgNext Technologies,Agriculture,Series A to Series H,0.0,Mohali,2018,Food & Agriculture
Pando,Logistics,Early Stage,2000000.0,Chennai,2018,Autommotive $ Transportation
Mintifi,Financial Services,Early Stage,2000000.0,Mumbai,2018,Consulting & Services
Carcrew,Automotive,Early Stage,2000000.0,Mumbai,2018,Autommotive $ Transportation
NicheAI,Artificial Intelligence,Angel and Grants,0.0,Hyderabad,2018,Other
Chariot Tech,Internet of Things,Early Stage,292000.0,New Delhi,2018,Technology
Ideal Insurance Brokers/ 121Policy.com,Insurance,Early Stage,1000000.0,Kolkata,2018,Finance $ Banking
Loanzen,Financial Services,Early Stage,0.0,Bangalore,2018,Consulting & Services
Mojro Technologies,Information Technology,Early Stage,650000.0,Bengaluru,2018,Technology
Elemential,Blockchain,Early Stage,1000000.0,Mumbai,2018,Other
Loadshare,Industrial Automation,Series A to Series H,5000000.0,Bengaluru,2018,Autommotive $ Transportation
Yumlane,Food and Beverage,Series A to Series H,4000000.0,Mumbai,2018,Food & Agriculture
Kriger Campus,Education,Early Stage,438000.0,New Delhi,2018,Other
Pipa+Bella,E-Commerce,Series A to Series H,1000000.0,Mumbai,2018,E-Commerce & Marketplace
Kaleidofin,Financial Services,Early Stage,2800000.0,Chennai,2018,Consulting & Services
Chakr Innovation,Renewable Energy,Early Stage,0.0,New Delhi,2018,Other
IndigoLearn,E-Learning,Early Stage,150000.0,Hyderabad,2018,Other
UClean,Clean Energy,Early Stage,584000.0,India,2018,Other
Coutloot,E-Commerce,Early Stage,1000000.0,Mumbai,2018,E-Commerce & Marketplace
Letstrack,Apps,Early Stage,1700000.0,New Delhi,2018,Other
Pooltoo,Transportation,Early Stage,0.0,New Delhi,2018,Autommotive $ Transportation
Finzy,Financial Services,Early Stage,1300000.0,Bangalore,2018,Consulting & Services
Fitternity,Fitness,Early Stage,2000000.0,Mumbai,2018,Other
Keito,Artificial Intelligence,Early Stage,0.0,Pune,2018,Other
Tolet for Students,Hospitality,Early Stage,73000.0,Jodhpur,2018,Other
Chai Kings,Food and Beverage,Early Stage,292000.0,Chennai,2018,Food & Agriculture
Dainik Jagran,Media and Entertainment,Early Stage,584000.0,Kanpur,2018,Other
Playtoome,Broadcasting,Early Stage,292000.0,Bengaluru,2018,Other
ONGO Framework,B2B,Angel and Grants,1000000.0,Hyderabad,2018,Other
Notesgen,EdTech,Early Stage,182500.0,New Delhi,2018,Technology
Arogya MedTech,Health Care,Early Stage,219000.0,Kolkata,2018,Healthcare
Propshop24,E-Commerce,Early Stage,500000.0,Mumbai,2018,E-Commerce & Marketplace
myUpchar,Health Care,Series A to Series H,5000000.0,New Delhi,2018,Healthcare
MissMalini Entertainment,unknown,Early Stage,1518400.0,Mumbai,2018,Other
Rooter,Sports,Early Stage,657000.0,India,2018,Other
ZestMoney,Big Data,Series A to Series H,13400000.0,Bangalore,2018,Other
alphaics Corporation,Cloud Computing,Early Stage,0.0,Bengaluru,2018,Other
MyDentistChoice,Health Care,Early Stage,500000.0,Hyderabad,2018,Healthcare
Sattviko,Food Processing,Angel and Grants,0.0,New Delhi,2018,Food & Agriculture
Sensibull,Trading Platform,Early Stage,365000.0,Bangalore,2018,Other
Bombay Shaving Company,Consumer Goods,Series A to Series H,0.0,New Delhi,2018,Other
MedCords,Wellness,Early Stage,385440.0,Pune,2018,Healthcare
University Living,Education,Early Stage,0.0,New Delhi,2018,Other
&ME,Food and Beverage,Early Stage,0.0,Bangalore,2018,Food & Agriculture
Enakshi,Fashion,Early Stage,116800.0,Ahmedabad,2018,Other
Ultraviolette Automotive,Automotive,Series A to Series H,876.0,Bangalore,2018,Autommotive $ Transportation
Inthree Access,Consulting,Series A to Series H,4000000.0,Chennai,2018,Consulting & Services
BUGWORKS Research India,Biotechnology,Series A to Series H,9000000.0,Bangalore,2018,Technology
Guardian.in,Health Care,Early Stage,0.0,Mumbai,2018,Healthcare
PrestLoans,Credit,Early Stage,100000.0,New Delhi,2018,Finance $ Banking
Wimoxez,Internet,Early Stage,20000.0,Hyderabad,2018,Technology
India Accelerator,Communities,Angel and Grants,0.0,Gurgaon,2018,Other
HappyEMI,Consumer,Early Stage,1000000.0,Bangalore,2018,Other
Wishup,Consumer Applications,Early Stage,0.0,Azadpur,2018,Other
Hansel.io,Mobile,Series A to Series H,4000000.0,Bangalore,2018,Other
Propelld,Education,Early Stage,250000.0,Bengaluru,2018,Other
PivotRoots,Advertising,Series A to Series H,0.0,Mumbai,2018,Other
ZiffyHomes,Marketplace,Early Stage,120000.0,New Delhi,2018,E-Commerce & Marketplace
Carmesi,Health Care,Early Stage,496400.0,Gurgaon,2018,Healthcare
OckyPocky,E-Learning,Angel and Grants,0.0,Haryana,2018,Other
Racetrack,Artificial Intelligence,Early Stage,4993200.0,Bangalore,2018,Other
WHR,Health Care,Early Stage,143145.0,Pune,2018,Healthcare
Asteria Aerospace,Aerospace,Early Stage,0.0,Bangalore,2018,Other
FabAlley,E-Commerce,Series A to Series H,8760000.0,Noida,2018,E-Commerce & Marketplace
Tranzmeo,Artificial Intelligence,Early Stage,0.0,Cochin,2018,Other
SBI Life,Insurance,Later Stage,742000000.0,Mumbai,2018,Finance $ Banking
Studds Accessories,E-Commerce,Later Stage,14600000.0,Faridabad,2018,E-Commerce & Marketplace
Design Cafe,Home Decor,Series A to Series H,29200000.0,Bengaluru,2018,Other
NoPaperForms Solutions Pvt. Ltd.,EdTech,Series A to Series H,3980000.0,New Delhi,2018,Technology
Rays Power Infra,Energy,unknown,29200000.0,Jaipur,2018,Other
AuthMetrik,B2B,Angel and Grants,10000.0,Gurgaon,2018,Other
Khidki,Artificial Intelligence,Early Stage,0.0,Bangalore,2018,Other
LetsTransport,Logistics,Series A to Series H,14600000.0,Bangalore,2018,Autommotive $ Transportation
Next Digital Solutions,Digital Marketing,Angel and Grants,1460.0,Kota,2018,E-Commerce & Marketplace
Portea Medical,Health Care,Later Stage,3650000.0,Bangalore,2018,Healthcare
Aavas Financiers,Finance,Later Stage,29200000.0,Jaipur,2018,Finance $ Banking
Swiggy,Food Delivery,Series A to Series H,1000000000.0,Bangalore,2018,Food & Agriculture
Milkbasket,E-Commerce,Series A to Series H,7000000.0,Haryana,2018,E-Commerce & Marketplace
Nutrisattva (Proliva),Fitness,Angel and Grants,0.0,Anand,2018,Other
Toppr,EdTech,Series A to Series H,35000000.0,Mumbai,2018,Technology
Jagaran Microfin,unknown,Later Stage,8030000.0,Kolkata,2018,Other
Vivriti Capital,Financial Services,unknown,28500000.0,Chennai,2018,Consulting & Services
Be U Salons,Apps,Early Stage,438000.0,New Delhi,2018,Other
Impact Guru,Creative Agency,Series A to Series H,2000000.0,Mumbai,2018,Other
MobiKwik,Consumer Lending,Series A to Series H,3504000.0,Gurgaon,2018,Other
Stones2Milestones,E-Learning,Early Stage,0.0,Gurgaon,2018,Other
Generico,Health Care,Series A to Series H,0.0,Mumbai,2018,Healthcare
Adiuvo Diagnostics,Health Diagnostics,Early Stage,0.0,Chennai,2018,Healthcare
DataTrained,EdTech,Early Stage,1752000.0,Bangalore,2018,Technology
OneAssist,Financial Services,Later Stage,2400000.0,Mumbai,2018,Consulting & Services
Satin Creditcare Network Limited (SCNL),Banking,Later Stage,30000000.0,New Delhi,2018,Finance $ Banking
APAC Financial Services,Finance,Later Stage,36500000.0,Mumbai,2018,Finance $ Banking
Moglix,B2B,Series A to Series H,23000000.0,Noida,2018,Other
SEDEMAC Mechatronics,Automotive,unknown,0.0,Mumbai,2018,Autommotive $ Transportation
MadGuy Labs,E-Learning,unknown,150000.0,Hyderabad,2018,Other
Dee Dee Labs,Embedded Systems,Early Stage,0.0,Pune,2018,Other
FLEECA,unknown,Early Stage,0.0,Jaipur,2018,Other
Shop101,Apps,Series A to Series H,11000000.0,Mumbai,2018,Other
FeedMyPockets,Advertising,Early Stage,642400.0,Bangalore City,2018,Other
Housejoy,Beauty,Series A to Series H,3240000.0,Bengaluru,2018,Other
Ambee,Health Care,Angel and Grants,0.0,Bangalore,2018,Healthcare
FoodBuddy,Food Delivery,Early Stage,876000.0,Belgaum,2018,Food & Agriculture
Ninjacart,AgTech,Series A to Series H,36500000.0,Bengaluru,2018,Technology
Olly Smart Credit Card,Credit Cards,Early Stage,0.0,New Delhi,2018,Finance $ Banking
Zestl,Software,Early Stage,0.0,Pune,2018,Technology
BYJU’S,EdTech,Later Stage,540000000.0,Bangalore,2018,Technology
Wakefit,Manufacturing,unknown,9490000.0,Bangalore,2018,Other
Hero Electric,Manufacturing,unknown,23360000.0,New Delhi,2018,Other
Pentation Analytics,Information Services,Early Stage,0.0,Mumbai,2018,Consulting & Services
PerkFinance,Consumer Lending,Early Stage,900000.0,Bangalore,2018,Other
Roposo,Internet,Series A to Series H,10000000.0,Gurgaon,2018,Technology
Plum Goodness,Beauty,Series A to Series H,0.0,Thane,2018,Other
Drstore,Hospital,Early Stage,0.0,Mumbai,2018,Other
Wow Venue,Events,unknown,1500000.0,Mumbai,2018,Other
Chizel,3D Printing,Early Stage,0.0,Pune,2018,Other
OTO Capital,Automotive,Early Stage,730000.0,Mumbai,2018,Autommotive $ Transportation
Boodmo,Automotive,Early Stage,1022000.0,Gurgaon,2018,Autommotive $ Transportation
Khabri,Apps,Early Stage,0.0,Haryana,2018,Other
MyNewCar.in,Automotive,unknown,1000000.0,Gurgaon,2018,Autommotive $ Transportation
HalaPlay Technologies,Digital Entertainment,Series A to Series H,5000000.0,Bangalore,2018,Other
PlanetSpark,E-Learning,Early Stage,233600.0,Gurgaon,2018,Other
WheelsEMI,unknown,Series A to Series H,14000000.0,Pune,2018,Other
Forum for Innovation Incubation Research and Entrepreneurship,Funding Platform,Angel and Grants,1496500.0,Margão,2018,Other
OYO,Hospitality,Series A to Series H,100000000.0,Gurgaon,2018,Other
Quikr,Classifieds,Later Stage,8030000.0,Bangalore,2018,Other
Tabono,Sports,Early Stage,0.0,Gurgaon,2018,Other
LearnApp,Banking,Early Stage,292000.0,Noida,2018,Finance $ Banking
Shopkirana,E-Commerce,unknown,2000000.0,Indore,2018,E-Commerce & Marketplace
Fric Bergen,unknown,unknown,0.0,Alwar,2018,Other
Articbot,Artificial Intelligence,Angel and Grants,17520.0,Kannur,2018,Other
BuildSupply,Enterprise Resource Planning (ERP),Series A to Series H,3650000.0,Gurgaon,2018,Other
Fusion Microfinance,Banking,Series A to Series H,75920000.0,New Delhi,2018,Finance $ Banking
Any time Doctor,Software,Angel and Grants,0.0,Chennai,2018,Technology
Go Payments,Information Services,Later Stage,0.0,Mumbai,2018,Consulting & Services
Guiddoo World,Audio,Early Stage,800000.0,Mumbai,2018,Other
ION Energy,Energy,unknown,1041000.0,Mumbai,2018,Other
UnoTag,Artificial Intelligence,Early Stage,100000.0,Bangalore,2018,Other
CivilCops,Government,Early Stage,100000.0,Gurgaon,2018,Other
Rockmetric,Information Technology,Angel and Grants,0.0,Mumbai,2018,Technology
Classworks India,Education,unknown,1460.0,Chennai,2018,Other
Snapmint,Consumer Lending,Early Stage,0.0,Mumbai,2018,Other
artbandhu,Digital Media,Early Stage,15000.0,Bangalore,2018,Other
Survaider,Business Intelligence,Early Stage,500000.0,Bengaluru,2018,Other
Credy,Credit,Early Stage,1400000.0,Bengaluru,2018,Finance $ Banking
iChamp,E-Learning,Early Stage,5000000.0,Gurgaon,2018,Other
Qandle,Software,Early Stage,1200000.0,Gurgaon,2018,Technology
Avishkaar Box,Children,Early Stage,730000.0,Delhi,2018,Other
Gegadyne Energy,Automotive,Angel and Grants,0.0,Mumbai,2018,Autommotive $ Transportation
HyperXchange,E-Commerce,Series A to Series H,1000000.0,Pune,2018,E-Commerce & Marketplace
Deftouch,unknown,Early Stage,0.0,Bangalore,2018,Other
Doodhwala,Food Delivery,Early Stage,2200000.0,Bengaluru,2018,Food & Agriculture
DronaHQ,Mobile,Angel and Grants,500000.0,Mumbai,2018,Other
FastFox,Rental,Series A to Series H,1460000.0,Gurgaon,2018,Other
BuyForexOnline,Travel,unknown,2000000.0,Bangalore,2018,Other
Colive.in,Consumer,Early Stage,1800000.0,Bangalore,2018,Other
Agricxlab Private Limited,B2B,Early Stage,500000.0,Thane,2018,Other
Corefactors,unknown,Early Stage,0.0,Bangalore,2018,Other
Fincash.com,Wealth Management,Early Stage,150000.0,Mumbai,2018,Finance $ Banking
Pandorum Technologies,Biotechnology,Series A to Series H,3600000.0,Bengaluru,2018,Technology
Shirsa Labs,Education,Early Stage,500000.0,Mumbai,2018,Other
PetSutra,Veterinary,Early Stage,138700.0,Gurgaon,2018,Other
Awaaz De,Internet,Angel and Grants,0.0,Ahmedabad,2018,Technology
PinkBlue,Health Care,Early Stage,300000.0,Bangalore,2018,Healthcare
Eduvanz,Finance,Angel and Grants,500000.0,Mumbai,2018,Finance $ Banking
Rupeek,Financial Services,Series A to Series H,6830000.0,Bangalore,2018,Consulting & Services
Backpacker Panda Holidays Private Limited,Tourism,Series A to Series H,1400000.0,Pune,2018,Other
Shape (School Health and Physical Education),Education,Early Stage,200000.0,Pune,2018,Other
Placio,Hospitality,Early Stage,2000000.0,Noida,2018,Other
